Probe 1,Probe 2,Probe 3
0.113405,0.101181,0.090394
0.113405,0.101597,0.090667
0.113405,0.102014,0.090804
0.113541,0.102987,0.091077
0.113541,0.103404,0.091214
0.113541,0.103821,0.091487
0.113405,0.104655,0.092033
0.113405,0.105072,0.09217
0.113269,0.105489,0.09258
0.113132,0.106322,0.093127
0.112996,0.1066,0.093536
0.11286,0.107017,0.09381
0.112451,0.107712,0.09463
0.112315,0.108129,0.09504
0.112179,0.108407,0.09545
0.111634,0.109102,0.096269
0.111497,0.10938,0.096679
0.111225,0.109797,0.097226
0.11068,0.110353,0.098046
0.110271,0.110631,0.098592
0.109999,0.110909,0.099002
0.109726,0.111186,0.099412
0.109045,0.111742,0.100369
0.108636,0.11202,0.100779
0.108227,0.112298,0.101189
0.10741,0.112715,0.102008
0.107001,0.112854,0.102418
0.106592,0.113132,0.102828
0.105638,0.11341,0.103648
0.10523,0.113688,0.103921
0.104821,0.113827,0.104331
0.103867,0.113966,0.105151
0.103322,0.114105,0.105425
0.102913,0.114105,0.105835
0.10196,0.114244,0.106518
0.101415,0.114383,0.106928
0.10087,0.114383,0.107201
0.099916,0.114383,0.107884
0.099371,0.114383,0.108157
0.098826,0.114383,0.108567
0.097872,0.114244,0.109114
0.097327,0.114244,0.109387
0.096782,0.114105,0.109661
0.095828,0.113966,0.110207
0.095283,0.113827,0.11048
0.094738,0.113688,0.110754
0.094329,0.113688,0.111027
0.093376,0.11341,0.111437
0.092967,0.113132,0.111574
0.092558,0.112993,0.111847
0.091741,0.112576,0.112257
0.091468,0.112437,0.112393
0.091196,0.112159,0.112667
0.090514,0.111742,0.11294
0.090242,0.111464,0.113077
0.089833,0.111186,0.113213
0.089288,0.11077,0.113487
0.089152,0.110353,0.113487
0.088879,0.110214,0.113487
0.08847,0.109658,0.11376
0.08847,0.10938,0.11376
0.088198,0.109102,0.11376
0.088198,0.108546,0.11376
0.088062,0.108129,0.11376
0.088198,0.107851,0.11376
0.088334,0.107295,0.11376
0.088334,0.107017,0.113623
0.088334,0.1066,0.113623
0.088743,0.106045,0.113487
0.088879,0.105767,0.11335
0.089015,0.10535,0.113213
0.089288,0.105072,0.113213
0.089697,0.104377,0.112803
0.090105,0.104099,0.112667
0.090378,0.103682,0.112393
0.091196,0.102987,0.11212
0.091468,0.10257,0.111847
0.091877,0.102292,0.111574
0.092831,0.101459,0.111027
0.093376,0.101181,0.110754
0.093784,0.100764,0.11048
0.094738,0.09993,0.109797
0.095283,0.099513,0.109387
0.095692,0.098957,0.109114
0.096646,0.098123,0.108431
0.097191,0.097706,0.108021
0.097599,0.09715,0.107611
0.098553,0.096178,0.106791
0.098962,0.095761,0.106381
0.099371,0.095205,0.105971
0.100188,0.094371,0.105151
0.100597,0.093954,0.104741
0.101006,0.093537,0.104331
0.101415,0.09312,0.103785
0.102096,0.092564,0.102965
0.102505,0.092147,0.102418
0.102913,0.09187,0.102008
0.103595,0.091314,0.101052
0.103867,0.091036,0.100642
